"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1149","166.134814","192.168.137.185","3.33.221.48","TCP","54","37416  >  80 [RST] Seq=307 Win=0 Len=0","Jul  6, 2023 09:03:22.325121000 Hora oficial do Brasil","0.034703000"
"1150","166.146803","192.168.137.185","20.42.72.131","TCP","571","[TCP Retransmission] 40624  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=517","Jul  6, 2023 09:03:22.337110000 Hora oficial do Brasil","0.011989000"
"1151","166.182641","52.151.239.148","192.168.137.185","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:22.372948000 Hora oficial do Brasil","0.035838000"
"1152","166.185157","192.168.137.185","52.151.239.148","TCP","66","45702  >  443 [ACK] Seq=433 Ack=4568 Win=77312 Len=0 TSval=493138598 TSecr=961291777","Jul  6, 2023 09:03:22.375464000 Hora oficial do Brasil","0.002516000"
"1153","166.187637","192.168.137.185","52.151.239.148","TLSv1.2","295","Application Data","Jul  6, 2023 09:03:22.377944000 Hora oficial do Brasil","0.002480000"
"1154","166.462762","157.240.216.61","192.168.137.185","TCP","74","443  >  37850 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=3825174216 TSecr=3990748137 WS=256","Jul  6, 2023 09:03:22.653069000 Hora oficial do Brasil","0.275125000"
"1155","166.543225","192.168.137.185","157.240.216.61","TCP","66","37850  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3990750072 TSecr=3825174216","Jul  6, 2023 09:03:22.733532000 Hora oficial do Brasil","0.080463000"
"1156","166.546786","192.168.137.185","157.240.216.61","TCP","70","37850  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=3990750076 TSecr=3825174216 [TCP segment of a reassembled PDU]","Jul  6, 2023 09:03:22.737093000 Hora oficial do Brasil","0.003561000"
"1159","166.836140","64.233.186.188","192.168.137.185","TCP","1466","[TCP Retransmission] 5228  >  38754 [PSH, ACK] Seq=56985 Ack=647 Win=266 Len=1400 TSval=1748340522 TSecr=1890819908","Jul  6, 2023 09:03:23.026447000 Hora oficial do Brasil","0.102600000"
"1160","166.953274","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=647 Ack=58658 Win=566 Len=0 TSval=1890822159 TSecr=1748340522","Jul  6, 2023 09:03:23.143581000 Hora oficial do Brasil","0.117134000"
